Age,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,JobLevel,WorkLifeBalance,DistanceFromHome,Attrition
60,8364,3,11,Yes,5,2,27,No
50,11974,4,18,No,5,1,4,No
36,10026,2,14,No,2,2,29,No
29,11401,1,1,No,3,3,6,Yes
42,8075,3,1,No,3,3,25,Yes
60,8030,1,18,No,4,4,1,No
40,15436,1,16,No,2,2,29,Yes
44,6913,2,19,No,2,3,5,No
32,6248,4,9,Yes,2,1,27,Yes
32,16045,2,5,Yes,2,4,23,No
45,15471,2,14,No,3,1,1,No
57,3163,2,10,No,3,2,30,No
45,4498,2,4,Yes,2,2,4,Yes
24,10494,3,0,No,4,2,22,No
43,14137,4,7,No,1,4,2,Yes
23,14435,1,20,Yes,1,3,10,Yes
45,16419,1,11,No,4,4,5,No
51,3995,4,11,No,2,1,27,No
59,5804,1,4,No,3,4,10,No
23,6263,4,6,Yes,1,1,1,No
42,7732,1,3,No,5,4,22,No
54,4353,2,5,No,5,3,6,No
33,16308,1,12,No,4,1,13,No
43,9085,4,19,No,2,2,15,No
46,15351,4,14,No,1,2,4,Yes
48,3791,4,2,No,2,4,13,No
49,6081,4,7,No,1,2,24,Yes
37,14149,4,19,No,4,1,20,No
36,10054,3,15,No,4,2,24,No
24,9780,3,12,Yes,5,3,15,Yes
58,4136,1,17,No,2,3,29,Yes
28,6196,4,9,No,5,4,8,No
42,13691,1,18,Yes,2,1,5,Yes
30,13844,4,16,No,5,3,29,No
60,3198,4,18,Yes,3,3,15,No
39,12852,3,4,No,3,1,4,No
25,14789,3,20,No,3,2,12,No
46,7237,2,8,No,3,2,13,No
35,17055,3,11,Yes,1,4,2,Yes
30,16377,2,20,No,3,2,27,No
47,3354,2,0,No,4,1,19,No
23,10664,2,0,No,4,3,19,No
41,8355,2,14,No,1,2,4,Yes
49,9892,2,1,No,3,4,4,No
28,9028,1,15,No,3,2,26,Yes
29,14166,3,7,No,3,1,11,No
56,16449,2,12,Yes,5,4,27,Yes
35,7749,4,20,No,2,2,5,No
38,7672,3,0,No,5,4,20,No
57,4207,3,15,Yes,2,1,11,No
25,13469,2,6,No,3,3,30,No
23,8291,1,4,No,3,1,10,Yes
27,12425,2,2,No,5,1,8,Yes
25,8035,1,11,No,5,1,6,Yes
50,17082,4,15,No,2,1,6,Yes
39,7431,3,18,No,4,3,8,No
47,6010,4,4,No,2,3,23,Yes
55,2702,1,13,Yes,5,4,15,Yes
31,13947,1,4,No,5,2,26,No
57,6718,4,14,No,1,3,14,No
35,15188,1,16,Yes,5,3,11,No
52,11458,4,13,No,1,2,12,No
36,6889,3,19,No,4,3,26,Yes
29,4827,4,4,No,2,1,13,Yes
35,10504,3,11,No,2,1,8,No
44,5431,4,15,No,1,2,30,No
42,10277,1,15,No,2,4,18,Yes
37,2697,4,20,Yes,5,4,25,No
39,9625,1,6,No,3,2,1,Yes
45,4430,4,3,No,1,2,15,Yes
47,14274,4,0,Yes,2,1,8,No
46,17587,2,4,No,1,4,28,No
50,8787,1,9,Yes,1,3,11,No
36,11300,2,4,Yes,3,1,12,Yes
22,13964,1,3,Yes,5,2,12,Yes
46,11839,2,1,Yes,1,4,4,Yes
28,6782,3,19,No,2,3,16,Yes
30,14089,4,9,No,4,3,4,No
45,5011,1,18,No,1,1,5,No
22,12486,1,0,No,1,4,24,Yes
29,3159,4,4,No,3,4,5,No
45,5311,1,12,No,5,2,8,No
32,9598,1,3,Yes,4,4,10,Yes
38,16743,2,15,No,2,4,17,Yes
29,9046,1,15,Yes,4,1,28,Yes
56,12061,3,1,No,2,4,26,No
56,4486,3,16,Yes,5,3,9,No
54,16322,4,19,No,2,1,22,No
26,10838,1,11,No,3,1,19,No
60,13911,4,17,Yes,3,2,29,Yes
49,5411,3,2,Yes,3,4,14,No
28,4234,1,0,No,3,2,8,No
30,4343,1,0,Yes,4,3,9,Yes
29,11180,4,18,No,5,1,22,No
33,5476,3,10,Yes,2,1,11,Yes
55,4459,1,4,Yes,2,1,23,Yes
54,8259,4,11,No,3,3,1,No
44,9194,3,2,No,3,3,14,No
45,4885,4,0,Yes,1,2,5,Yes
58,13611,2,0,Yes,5,2,21,No
56,7236,1,7,Yes,4,2,26,Yes
43,4302,2,9,No,2,4,14,No
48,10655,3,10,No,1,1,4,No
56,10620,2,11,No,1,1,22,No
22,9116,2,12,No,2,2,23,No
56,16757,3,11,Yes,4,1,25,No
58,16986,4,13,No,1,2,1,No
35,8034,2,1,No,1,4,22,Yes
24,6561,4,18,Yes,5,4,23,No
22,14061,2,17,No,4,3,19,No
26,16422,4,2,No,1,4,8,Yes
47,2762,3,16,No,4,2,15,No
35,16575,2,7,No,2,4,21,No
60,8787,3,9,No,3,3,15,No
48,17181,2,1,No,1,1,9,No
30,11315,3,18,No,5,2,21,No
36,11708,3,8,No,2,1,9,Yes
36,14335,2,6,No,4,3,10,No
47,15668,2,3,Yes,2,3,20,Yes
34,4549,2,20,Yes,1,3,25,Yes
53,17732,1,17,Yes,4,1,21,No
